,State,ORI,"City, State",Population,Agg Assault Crime Rate,Arson Crime Rate,Auto Theft Crime Rate,Burglary Crime Rate,Homicide Crime Rate,Larceny Crime Rate,Property Crime Rate,Robbery Crime Rate,Sex Crimes Rate,Violent Crime Rate,Total Crime Rate,Total Person Crime Rate,Total Property Crime Rate
BOSTON POLICE DEPARTMENT,MA,MA0130100,"Boston city, Massachusetts",679413.0,431.54899891524013,0.5887435183018283,135.41100920942048,250.65755291700333,6.181806942169196,1558.6984647040902,1944.767026830514,152.92612887889987,33.99993818193058,630.544308101258,5145.323978198828,1255.2011810194977,3890.1227971793296
CHARLOTTESVILLE POLICE DEPT,VA,VA1020000,"Charlottesville city, Virginia",47042.0,218.9532757960971,10.628799795927044,165.80927681646187,259.3427150206199,0.0,1964.2022022873177,2389.3541941243993,46.766719102078994,68.02431869393308,384.76255261255903,5507.8440542493945,718.5068662046682,4789.337188044726
CHATTANOOGA POLICE DEPARTMENT,TN,TN0330100,"Chattanooga city, Tennessee",177365.0,877.2869506385138,14.095227356017253,740.8451498322668,619.0623854762778,18.605700109942774,4337.94717108787,5697.854706396414,110.50658247117526,90.7732641727511,1172.7229160206355,13679.700053561863,2269.895413413018,11409.804640148846
CHICAGO POLICE DEPT,IL,ILCPD0000,"Chicago city, Illinois",2718555.0,562.6518499717681,0.0,334.03775167322345,352.31952268760426,18.09784977681158,2283.6764384020184,2970.0337127628463,293.64864790302204,64.77705987188047,939.1754075234822,7818.418240572657,1878.3508150469645,5940.067425525693
DALLAS POLICE DEPARTMENT,TX,TXDPD0000,"Dallas city, Texas",1318806.0,482.93683832193665,10.918967611612322,777.7489638354693,698.3589701593714,15.013580465966943,1957.224944381509,3433.3328783763495,333.63512146593206,60.433452683715416,943.5049582728619,8713.108675574724,1835.5239512104129,6877.584724364311
DENVER POLICE DEPARTMENT,CO,CODPD0000,"Denver city, Colorado",693417.0,500.99723542976307,15.43083022192995,763.4655625691323,572.0944251438889,9.66229555952623,2599.7343589787965,3935.2943466918173,173.77710670491206,102.8241303573463,855.4736904344716,9528.753982091584,1642.734458486019,7886.019523605565
KANSAS CITY POLICE DEPARTMENT,MO,MOKPD0000,"Kansas City city, Missouri",481417.0,1071.6281311212524,33.23522019371979,789.5441997270557,637.7007874669985,31.158018931612304,2545.1947064603037,3972.439693654358,299.74014212211034,72.0788837951298,1518.0186823481513,10970.738465820692,2992.623858318256,7978.114607502436
LAS VEGAS METRO POLICE DEPARTMENT,NV,NV0020100,"Las Vegas city, Nevada",626637.0,831.9010846790088,15.639038231065195,1166.7041684420167,1698.9102143665311,13.404889912341593,4506.596322911031,7372.21070571958,337.99472421832735,229.63853076023278,1412.9392295699106,17585.938908810043,2825.878459139821,14760.060449670224
NEW ORLEANS POLICE DEPARTMENT,LA,LANPD0000,"New Orleans city, Louisiana",389648.0,669.3220547776455,0.0,757.35022379173,549.9835749189012,31.053668952490455,4051.092267893073,5358.426066603704,259.97823676754405,198.64082453907116,1158.994785036751,13034.84170328091,2317.989570073502,10716.852133207409
PORTLAND POLICE BUREAU,OR,OR0260200,"Portland city, Oregon",639387.0,348.77155775766477,39.41275002463297,1005.9635244382509,656.8791670772162,4.535594248866492,3725.4432761379257,5388.2859676533935,153.11540584966536,57.555127020098936,606.6748307363147,11986.63720094403,1170.6525156126102,10815.98468533142
SAN FRANCISCO POLICE DEPARTMENT,CA,CA0380100,"San Francisco city, California",870044.0,288.95090363246,6.436456087278345,488.36610562224445,533.7661083807255,4.597468633770246,4584.480784879845,5606.612998882815,351.1316669042025,37.239495933539,681.9195351039717,12583.501524060854,1363.8390702079435,11219.662453852909
SIOUX FALLS POLICE DEPARTMENT,SD,SD0490200,"Sioux Falls city, South Dakota",174151.0,407.1179608500669,16.652215605997092,377.83302995676166,399.07896021268897,2.2968573249651167,2469.1216243375,3246.033614506951,39.04657452440698,66.60886242398837,573.0659025787966,7596.855602322123,1088.136157702224,6508.719444619898
