,State,ORI,"City, State",Population,Arson,Auto Theft,Burglary,Larceny,Property Crime,Robbery,Total Property Crime,Arson Crime Rate,Auto Theft Crime Rate,Burglary Crime Rate,Larceny Crime Rate,Property Crime Rate,Robbery Crime Rate,Total Property Crime Rate
BOSTON POLICE DEPARTMENT,MA,MA0130100,"Boston city, Massachusetts",679413.0,4,920,1703,10590,13213,1039,26430,0.5887435183018283,135.41100920942048,250.65755291700333,1558.6984647040902,1944.767026830514,152.92612887889987,3890.1227971793296
CHARLOTTESVILLE POLICE DEPT,VA,VA1020000,"Charlottesville city, Virginia",47042.0,5,78,122,924,1124,22,2253,10.628799795927044,165.80927681646187,259.3427150206199,1964.2022022873177,2389.3541941243993,46.766719102078994,4789.337188044726
CHATTANOOGA POLICE DEPARTMENT,TN,TN0330100,"Chattanooga city, Tennessee",177365.0,25,1314,1098,7694,10106,196,20237,14.095227356017253,740.8451498322668,619.0623854762778,4337.94717108787,5697.854706396414,110.50658247117526,11409.804640148846
CHICAGO POLICE DEPT,IL,ILCPD0000,"Chicago city, Illinois",2718555.0,0,9081,9578,62083,80742,7983,161484,0.0,334.03775167322345,352.31952268760426,2283.6764384020184,2970.0337127628463,293.64864790302204,5940.067425525693
DALLAS POLICE DEPARTMENT,TX,TXDPD0000,"Dallas city, Texas",1318806.0,144,10257,9210,25812,45279,4400,90702,10.918967611612322,777.7489638354693,698.3589701593714,1957.224944381509,3433.3328783763495,333.63512146593206,6877.584724364311
DENVER POLICE DEPARTMENT,CO,CODPD0000,"Denver city, Colorado",693417.0,107,5294,3967,18027,27288,1205,54683,15.43083022192995,763.4655625691323,572.0944251438889,2599.7343589787965,3935.2943466918173,173.77710670491206,7886.019523605565
KANSAS CITY POLICE DEPARTMENT,MO,MOKPD0000,"Kansas City city, Missouri",481417.0,160,3801,3070,12253,19124,1443,38408,33.23522019371979,789.5441997270557,637.7007874669985,2545.1947064603037,3972.439693654358,299.74014212211034,7978.114607502436
LAS VEGAS METRO POLICE DEPARTMENT,NV,NV0020100,"Las Vegas city, Nevada",626637.0,98,7311,10646,28240,46197,2118,92492,15.639038231065195,1166.7041684420167,1698.9102143665311,4506.596322911031,7372.21070571958,337.99472421832735,14760.060449670224
NEW ORLEANS POLICE DEPARTMENT,LA,LANPD0000,"New Orleans city, Louisiana",389648.0,0,2951,2143,15785,20879,1013,41758,0.0,757.35022379173,549.9835749189012,4051.092267893073,5358.426066603704,259.97823676754405,10716.852133207409
PORTLAND POLICE BUREAU,OR,OR0260200,"Portland city, Oregon",639387.0,252,6432,4200,23820,34452,979,69156,39.41275002463297,1005.9635244382509,656.8791670772162,3725.4432761379257,5388.2859676533935,153.11540584966536,10815.98468533142
SAN FRANCISCO POLICE DEPARTMENT,CA,CA0380100,"San Francisco city, California",870044.0,56,4249,4644,39887,48780,3055,97616,6.436456087278345,488.36610562224445,533.7661083807255,4584.480784879845,5606.612998882815,351.1316669042025,11219.662453852909
SIOUX FALLS POLICE DEPARTMENT,SD,SD0490200,"Sioux Falls city, South Dakota",174151.0,29,658,695,4300,5653,68,11335,16.652215605997092,377.83302995676166,399.07896021268897,2469.1216243375,3246.033614506951,39.04657452440698,6508.719444619898
